time,transactTime,sym,venue,exchangeOrderId,displayQty,orderQty,lastQty,leavesQty,cumQty,clOrdId
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:57:53.591679000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:32.596035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:59:41.597655000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:01:32.603337000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:03:23.612592000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:14.615505000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:56.618325000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:04:59.619520000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:05:11.621075000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:07:02.626143000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:08:53.632094000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
